Timestamp,FRIO,ESCL,BALO,POLI,CARR,COLE,ARMA,PUER,AVIO,SATR,SADE,FOTO,BUSE,FILA,ALTO
8/4/2017 23:33:53,Si,Si,No,Si,No,No,Si,No,Si,No,No,Si,No,Si,1.64
8/4/2017 23:38:21,No,Si,No,Si,Si,No,No,No,No,No,No,No,No,No,1.61
8/4/2017 23:39:18,No,No,Si,No,No,No,Si,No,Si,No,Si,No,No,Si,1.67
8/4/2017 23:57:33,Si,No,No,No,Si,No,Si,No,No,No,No,No,No,No,1.66
8/4/2017 23:57:16,No,Si,No,Si,No,No,No,No,No,No,Si,Si,No,No,1.57
8/5/2017 0:04:38,Si,No,No,Si,No,Si,Si,No,Si,No,No,No,Si,No,1.67
8/5/2017 0:30:12,Si,Si,Si,Si,Si,No,Si,No,Si,Si,Si,Si,No,Si,1.70
8/5/2017 0:42:11,No,No,Si,No,No,No,Si,No,No,No,No,No,No,No,1.53
8/5/2017 1:04:04,No,No,Si,No,No,No,No,No,No,No,No,No,No,No,1.60
8/5/2017 1:12:04,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.60
8/5/2017 1:30:31,No,No,Si,Si,No,No,Si,No,Si,No,No,Si,No,Si,1.64
8/5/2017 1:31:13,No,Si,Si,Si,No,Si,Si,No,Si,No,Si,Si,No,Si,1.72
8/5/2017 1:47:09,Si,Si,No,No,No,No,Si,No,Si,Si,Si,Si,Si,Si,1.82
8/5/2017 2:17:46,Si,No,No,No,No,No,Si,No,No,Si,Si,Si,No,Si,1.67
8/5/2017 2:17:50,No,Si,No,Si,Si,Si,Si,No,Si,No,No,Si,No,Si,1.62
8/5/2017 2:21:22,No,No,Si,Si,No,Si,No,No,No,No,Si,Si,No,Si,1.67
8/5/2017 4:28:07,Si,No,No,No,Si,No,No,No,Si,No,No,No,No,No,1.62
8/5/2017 6:11:09,Si,No,No,No,No,Si,Si,Si,Si,No,No,Si,Si,Si,1.83
8/5/2017 6:30:15,No,No,No,No,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,1.74
8/5/2017 7:13:37,Si,Si,No,No,No,Si,Si,No,Si,No,No,No,No,No,1.65
8/5/2017 7:41:05,Si,Si,No,Si,No,Si,No,No,No,No,Si,No,No,No,1.6
8/5/2017 7:58:26,No,Si,Si,Si,Si,No,No,No,No,No,No,No,No,No,1.65
8/5/2017 9:05:06,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1.41
8/5/2017 9:17:43,Si,No,Si,Si,No,No,No,No,No,No,No,No,No,No,1.6
8/5/2017 9:22:51,No,Si,No,No,No,Si,Si,No,Si,No,No,Si,No,Si,1.7
8/5/2017 9:22:52,No,Si,No,No,Si,No,Si,No,No,No,Si,No,No,No,1.61
8/5/2017 9:28:51,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,1.58
8/5/2017 9:31:00,Si,No,No,No,No,No,No,No,Si,No,No,No,No,No,1.65
8/5/2017 10:13:01,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,Si,1.7
